,orig.ident,nCount_RNA,nFeature_RNA,cell_type,plate,batch,tech,celltype
CD1C_P10_S75,CD1C,17423.6270878992,5808,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S76,CD1C,16320.1987325156,5415,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S77,CD1C,16661.1094057955,5592,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S78,CD1C,16362.930769537,4920,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S79,CD1C,17258.3663442222,6122,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S80,CD1C,17190.1140241293,5892,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S81,CD1C,17718.9864338631,6726,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S82,CD1C,16260.1470863657,5618,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S83,CD1C,16079.2726343685,5204,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S84,CD1C,18043.1143908423,6709,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S85,CD1C,31167.4157988081,12454,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S86,CD1C,17257.5955271156,6414,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S87,CD1C,18392.786376034,7176,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S88,CD1C,17686.6210916778,6665,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S89,CD1C,16948.1754663446,6407,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S90,CD1C,12135.143945073,5835,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S91,CD1C,17533.6293559464,6835,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S92,CD1C,18663.3014705574,7210,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S93,CD1C,17871.3580905334,7032,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S94,CD1C,16927.9614327842,6792,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S95,CD1C,16894.5242804392,6214,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S96,CD1C,16201.1073089099,6458,CD1C,P10,batch1,batch1,CD1C
CD1C_P13_S49,CD1C,14976.0844202109,4786,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S50,CD1C,17847.6862399413,5481,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S51,CD1C,13656.5279650411,4389,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S52,CD1C,14286.9013070525,4383,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S53,CD1C,15475.0177672507,4872,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S54,CD1C,14652.239807148,4073,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S55,CD1C,12334.2314724145,3918,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S56,CD1C,14286.5135930493,4317,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S57,CD1C,15973.1273806653,5052,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S58,CD1C,16105.9452007111,5045,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S59,CD1C,16571.3087180647,5498,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S60,CD1C,15434.2978716634,5014,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S61,CD1C,29030.5979564807,10268,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S62,CD1C,15451.1604097295,4650,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S63,CD1C,16915.6714059615,5347,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S64,CD1C,15392.791339177,4454,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S65,CD1C,16294.1860021451,4880,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S66,CD1C,14877.2976955854,4226,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S67,CD1C,14401.0281271102,4287,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S68,CD1C,14075.4193196737,4651,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S69,CD1C,16166.065326151,5149,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S70,CD1C,13915.5467353653,3490,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S71,CD1C,15251.486439872,5004,CD1C,P13,batch2,batch2,CD1C
CD1C_P13_S72,CD1C,14854.0785558546,4750,CD1C,P13,batch2,batch2,CD1C
CD1C_P14_S73,CD1C,16017.7490045767,4714,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S74,CD1C,14790.7137188659,3917,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S75,CD1C,14917.7360264739,4297,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S76,CD1C,15397.7197596163,4479,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S77,CD1C,15221.4875337482,4384,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S78,CD1C,12985.7474956923,3245,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S79,CD1C,16644.5499975158,5000,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S80,CD1C,15082.1346095842,4127,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S81,CD1C,15668.7295709747,4493,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S82,CD1C,15523.5418663325,4540,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S83,CD1C,14255.856347197,4091,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S84,CD1C,14762.8747760034,4236,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S85,CD1C,24963.1966226364,9880,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S86,CD1C,17467.5410280821,5380,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S87,CD1C,14523.4455710564,4635,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S88,CD1C,16374.3519388777,4969,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S89,CD1C,15088.7136935309,4634,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S90,CD1C,14626.1121701638,4256,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S91,CD1C,14240.729142693,3934,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S92,CD1C,13980.019237045,4030,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S93,CD1C,16176.3297577116,4666,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S94,CD1C,14666.7587030558,4002,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S95,CD1C,14962.7717613918,4248,CD1C,P14,batch2,batch2,CD1C
CD1C_P14_S96,CD1C,15612.7441118406,4648,CD1C,P14,batch2,batch2,CD1C
CD1C_P3_S10,CD1C,15041.3995192492,4296,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S11,CD1C,14535.1786868524,3807,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S12,CD1C,14433.044449202,4187,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S13,CD1C,21779.1732542831,7698,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S14,CD1C,14728.9029866842,4327,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S15,CD1C,14905.3909353754,4358,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S16,CD1C,14279.4110574817,4088,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S17,CD1C,15758.5038074656,4380,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S18,CD1C,15664.2909920527,4242,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S19,CD1C,15556.8897400871,4103,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S1,CD1C,13948.2684189119,3726,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S20,CD1C,14680.8939324798,3899,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S21,CD1C,13254.4006370831,3501,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S22,CD1C,15287.1920226488,4103,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S23,CD1C,16197.3665305197,4566,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S24,CD1C,13734.0536413873,3736,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S2,CD1C,14409.7393706867,4369,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S3,CD1C,15093.546396154,4331,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S4,CD1C,14755.8568073793,4200,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S5,CD1C,15863.9178222917,4328,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S6,CD1C,15036.2707884869,4119,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S7,CD1C,14226.5458822047,3710,CD1C,P3,batch2,batch2,CD1C
CD1C_P3_S8,CD1C,14198.530786019,4034,CD1C,P3,batch2,batch2,CD1C
CD1C_P4_S25,CD1C,16145.99442376,4860,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S26,CD1C,15980.4157260203,4897,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S27,CD1C,14647.8407893376,4300,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S28,CD1C,13879.0469276885,3976,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S29,CD1C,13284.1921052157,3792,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S30,CD1C,15851.6834146871,4548,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S31,CD1C,13576.8726110489,3817,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S32,CD1C,14766.0859987854,4431,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S34,CD1C,14677.0670755714,4398,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S35,CD1C,15356.9138553726,4553,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S36,CD1C,14882.265023184,4469,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S37,CD1C,21343.1792977527,8667,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S38,CD1C,15050.155247661,4287,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S39,CD1C,14888.9019891078,4492,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S40,CD1C,15097.5270015213,4526,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S41,CD1C,15216.2529435899,4305,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S42,CD1C,13786.1526159756,3889,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S43,CD1C,14806.8429830778,4292,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S44,CD1C,15010.4513248402,4350,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S45,CD1C,13428.2163652659,3720,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S46,CD1C,12934.934890496,3604,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S47,CD1C,14418.1023764267,4250,CD1C,P4,batch2,batch2,CD1C
CD1C_P4_S48,CD1C,14111.2050941437,4113,CD1C,P4,batch2,batch2,CD1C
CD1C_P7_S10,CD1C,19307.8361645043,6418,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S11,CD1C,17115.4994012445,5828,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S12,CD1C,19390.6196851904,7007,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S13,CD1C,29194.0920417592,12833,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S14,CD1C,19760.4382922315,6349,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S15,CD1C,19255.564187726,6447,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S16,CD1C,18733.1066126101,7011,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S17,CD1C,21752.5759413643,8312,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S18,CD1C,19845.4021306124,6326,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S19,CD1C,19061.3857951737,5929,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S1,CD1C,18819.2161880532,5698,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S20,CD1C,17928.9466344388,6567,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S21,CD1C,20862.2930098785,6983,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S22,CD1C,20077.7409691153,6292,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S23,CD1C,18388.1378646889,6157,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S24,CD1C,19829.536941863,7463,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S2,CD1C,18950.0809682226,7131,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S3,CD1C,18374.182683631,6589,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S4,CD1C,16984.534398041,6871,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S5,CD1C,22590.8795414816,8860,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S6,CD1C,19172.6598406619,6703,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S7,CD1C,19667.2162634208,7069,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S8,CD1C,19427.2175976999,7422,CD1C,P7,batch1,batch1,CD1C
CD1C_P7_S9,CD1C,18083.2456019624,6476,CD1C,P7,batch1,batch1,CD1C
CD1C_P8_S25,CD1C,17193.7748113842,5358,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S26,CD1C,18340.2529486948,5997,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S27,CD1C,15903.9949692114,4395,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S28,CD1C,19276.809659791,5721,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S30,CD1C,17480.1806068275,5619,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S31,CD1C,17476.1871157924,6497,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S32,CD1C,17382.272466957,6381,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S33,CD1C,18066.6527381734,5784,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S34,CD1C,11659.8751622752,6055,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S35,CD1C,16712.5342541287,4335,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S36,CD1C,17678.8158984307,4909,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S37,CD1C,30218.7524718642,12863,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S38,CD1C,19852.0201499,5990,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S39,CD1C,19170.8482086168,6424,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S40,CD1C,19151.8313903637,5954,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S42,CD1C,18235.1659379237,6138,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S43,CD1C,18928.6054228441,5898,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S44,CD1C,17386.1536414673,4938,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S45,CD1C,19173.9251298497,6468,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S46,CD1C,18063.4716148771,5749,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S47,CD1C,17010.6577846242,4491,CD1C,P8,batch1,batch1,CD1C
CD1C_P8_S48,CD1C,22710.7157252002,8303,CD1C,P8,batch1,batch1,CD1C
CD1C_P9_S49,CD1C,13247.2332688318,5803,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S50,CD1C,16869.7161222065,5493,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S51,CD1C,16169.9099761111,5547,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S52,CD1C,15230.3871741884,4947,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S53,CD1C,15776.6840091311,4970,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S54,CD1C,17144.7885509028,5906,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S55,CD1C,17389.8376128953,5891,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S56,CD1C,17247.3226981861,6071,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S57,CD1C,16459.8329637588,5652,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S58,CD1C,16267.5097531839,4447,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S59,CD1C,17116.5740750195,6222,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S60,CD1C,15437.8502899653,5344,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S61,CD1C,28208.4470956394,12603,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S62,CD1C,16998.9665553931,5667,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S63,CD1C,17527.7164329587,6265,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S64,CD1C,17403.6782673328,5903,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S65,CD1C,16395.2052120537,6222,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S66,CD1C,17773.2356265073,6413,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S67,CD1C,18423.7424374956,6044,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S68,CD1C,17063.813636677,5935,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S69,CD1C,17058.4553087424,6395,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S70,CD1C,18483.096489435,6083,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S71,CD1C,17261.3712802374,5870,CD1C,P9,batch1,batch1,CD1C
CD1C_P9_S72,CD1C,17475.9699775942,6164,CD1C,P9,batch1,batch1,CD1C
